date,description,net_amount,vat_amount,category
18/03/2025,Renewals of Roads,972859.0,0.0,TA Renewal of Roads - Capital
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,970000.0,0.0,Cap Grt Loc Auth
17/03/2025,Liverpool City Region 10%-  LEVI C Fund 24-25,964700.0,0.0,Cap Grt Loc Auth
27/03/2025,ZEBRA 2,960464.0,0.0,Cap Grt Loc Auth
11/03/2025,RIS 2 Schemes,953540.5,0.0,TA Cost AUC - Programme
26/03/2025,Improvement Works (Non Cap),950000.0,0.0,Improvement Works (Non Cap)
06/03/2025,RIS 2 Schemes,943472.12,0.0,TA Cost AUC - Programme
10/03/2025,RIS 2 Schemes,942536.26,0.0,TA Cost AUC – Non SRN
04/03/2025,Customer Operations Traffic Management,939257.37,0.0,Contractor Costs
26/03/2025,"""PIVG Mercedes Vans February  2025 #922,500""",922500.0,0.0,Cap Grt Pri Sec-Cos.
24/03/2025,Pensions Contribution,919194.01,0.0,Pensions Contribution
27/03/2025,ZEBRA 2,918219.55,0.0,Cap Grt Loc Auth
10/03/2025,Operate Roads PFI Service Payments,915432.7,0.0,PFI Service Payments
25/03/2025,Q3 Invoice - CPC0000204,911624.0,0.0,Research Grant-PS
19/03/2025,Renewals of Roads,908839.78,0.0,TA Renewal of Roads - Capital
